iso3,year,gdp_actual,gdp_est,gdp_ci_lo,gdp_ci_hi,gdp_sens_lo,gdp_sens_hi,abs_pct_error
GHA,2013,47065830437.531,48405958449.532845,48104693713.362625,48709109913.05257,48126669838.20387,48850177022.9287,2.8473480644956473
GHA,2014,48410143589.6826,49431835083.94704,49430362361.77881,49433307849.9932,49430470101.25263,49433990072.784676,2.1104905263742646
GHA,2015,49436806230.4839,49436806230.48394,49436806230.48394,49436806230.48394,49436806230.48394,49436806230.48394,6.661338147750939e-14
GHA,2016,51104539956.3997,54232927646.14504,52765385523.632126,55741285918.48757,52099121216.16598,55629529582.35474,6.12154554647073
GHA,2017,55258774288.879,55699829613.081955,53765771588.76624,57703459417.56351,52892788079.19806,57554465819.92856,0.7981634226941647
GHA,2018,58684861220.5087,57990658661.46416,55312595429.990326,60798385355.9527,54114340530.88339,60588447620.1365,1.1829329483051376
GHA,2019,62503939826.8611,60657595420.213425,57090758427.3698,64447276293.292114,55510389071.1388,64162178722.78439,2.9539648408758445
GHA,2020,62825173619.4157,64140092004.67694,59378228295.121,69283835514.95209,57293906311.346985,68893931310.92632,2.0929801057563147
GHA,2021,66014472471.1465,70671628552.03146,63571879294.57525,78564282472.3368,60529401955.42584,77958119395.47346,7.054750127588316
GHA,2022,68526223982.9084,75140993811.79407,66375313125.230286,85064291001.85893,62669034809.1008,84295861935.48067,9.65290285152076
